MODEL

Lambda: 5.0

Dataset structure: 1000 sequences with 100 features
Number of architectures in the best model: 10

Architecture 1: 149 sequences with 11 important features
4 (0.333333333333 {50/149}, 0.00653594771242 {0/149}, 0.143790849673 {21/149}, 0.516339869281 {78/149})
7 (0.0540540540541 {1/33}, 0.027027027027 {0/33}, 0.810810810811 {29/33}, 0.108108108108 {3/33})
17 (0.027027027027 {0/33}, 0.027027027027 {0/33}, 0.918918918919 {33/33}, 0.027027027027 {0/33})
24 (0.027027027027 {0/33}, 0.027027027027 {0/33}, 0.837837837838 {30/33}, 0.108108108108 {3/33})
33 (0.0540540540541 {1/33}, 0.027027027027 {0/33}, 0.324324324324 {11/33}, 0.594594594595 {21/33})
45 (0.486486486486 {17/33}, 0.351351351351 {12/33}, 0.135135135135 {4/33}, 0.027027027027 {0/33})
49 (0.0540540540541 {1/33}, 0.297297297297 {10/33}, 0.108108108108 {3/33}, 0.540540540541 {19/33})
55 (0.0810810810811 {2/33}, 0.675675675676 {24/33}, 0.027027027027 {0/33}, 0.216216216216 {7/33})
60 (0.027027027027 {0/33}, 0.405405405405 {14/33}, 0.0540540540541 {1/33}, 0.513513513514 {18/33})
82 (0.135135135135 {4/33}, 0.027027027027 {0/33}, 0.594594594595 {21/33}, 0.243243243243 {8/33})
95 (0.027027027027 {0/33}, 0.108108108108 {3/33}, 0.189189189189 {6/33}, 0.675675675676 {24/33})

Architecture 5: 259 sequences with 11 important features
14 (0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.988593155894 {259/259}, 0.00380228136882 {0/259})
15 (0.520912547529 {136/259}, 0.422053231939 {110/259}, 0.00380228136882 {0/259}, 0.0532319391635 {13/259})
20 (0.125475285171 {32/259}, 0.330798479087 {86/259}, 0.0190114068441 {4/259}, 0.524714828897 {137/259})
25 (0.171102661597 {44/259}, 0.764258555133 {200/259}, 0.0456273764259 {11/259}, 0.0190114068441 {4/259})
48 (0.186311787072 {48/259}, 0.269961977186 {70/259}, 0.190114068441 {49/259}, 0.3536121673 {92/259})
65 (0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.988593155894 {259/259})
70 (0.980988593156 {257/259}, 0.0114068441065 {2/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259})
73 (0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.988593155894 {259/259}, 0.00380228136882 {0/259})
76 (0.00380228136882 {0/259}, 0.988593155894 {259/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259})
85 (0.00380228136882 {0/259}, 0.889733840304 {233/259}, 0.102661596958 {26/259}, 0.00380228136882 {0/259})
91 (0.988593155894 {259/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259}, 0.00380228136882 {0/259})

Architecture 6: 46 sequences with 11 important features
2 (0.66 {32/46}, 0.1 {4/46}, 0.22 {10/46}, 0.02 {0/46})
7 (0.18 {8/46}, 0.02 {0/46}, 0.02 {0/46}, 0.78 {38/46})
9 (0.64 {31/46}, 0.02 {0/46}, 0.16 {7/46}, 0.18 {8/46})
18 (0.18 {8/46}, 0.02 {0/46}, 0.78 {38/46}, 0.02 {0/46})
22 (0.66 {32/46}, 0.3 {14/46}, 0.02 {0/46}, 0.02 {0/46})
31 (0.24 {11/46}, 0.02 {0/46}, 0.1 {4/46}, 0.64 {31/46})
59 (0.04 {1/46}, 0.02 {0/46}, 0.02 {0/46}, 0.92 {45/46})
61 (0.02 {0/46}, 0.02 {0/46}, 0.02 {0/46}, 0.94 {46/46})
72 (0.24 {11/46}, 0.02 {0/46}, 0.56 {27/46}, 0.18 {8/46})
76 (0.02 {0/46}, 0.94 {46/46}, 0.02 {0/46}, 0.02 {0/46})
86 (0.02 {0/46}, 0.06 {2/46}, 0.9 {44/46}, 0.02 {0/46})

Architecture 7: 104 sequences with 11 important features
3 (0.101851851852 {10/104}, 0.148148148148 {15/104}, 0.731481481481 {78/104}, 0.0185185185185 {1/104})
8 (0.00925925925926 {0/104}, 0.203703703704 {21/104}, 0.00925925925926 {0/104}, 0.777777777778 {83/104})
9 (0.287037037037 {30/104}, 0.0648148148148 {6/104}, 0.175925925926 {18/104}, 0.472222222222 {50/104})
14 (0.0833333333333 {8/104}, 0.287037037037 {30/104}, 0.157407407407 {16/104}, 0.472222222222 {50/104})
30 (0.00925925925926 {0/104}, 0.00925925925926 {0/104}, 0.972222222222 {104/104}, 0.00925925925926 {0/104})
38 (0.00925925925926 {0/104}, 0.425925925926 {45/104}, 0.0277777777778 {2/104}, 0.537037037037 {57/104})
85 (0.0648148148148 {6/104}, 0.342592592593 {36/104}, 0.314814814815 {33/104}, 0.277777777778 {29/104})
86 (0.416666666667 {44/104}, 0.0555555555556 {5/104}, 0.12037037037 {12/104}, 0.407407407407 {43/104})
91 (0.00925925925926 {0/104}, 0.0277777777778 {2/104}, 0.0185185185185 {1/104}, 0.944444444444 {101/104})
96 (0.25 {26/104}, 0.481481481481 {51/104}, 0.259259259259 {27/104}, 0.00925925925926 {0/104})
98 (0.00925925925926 {0/104}, 0.277777777778 {29/104}, 0.694444444444 {74/104}, 0.0185185185185 {1/104})

Architecture 8: 64 sequences with 13 important features
15 (0.941176470588 {63/64}, 0.0294117647059 {1/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
17 (0.0441176470588 {2/64}, 0.294117647059 {19/64}, 0.382352941176 {25/64}, 0.279411764706 {18/64})
39 (0.0147058823529 {0/64}, 0.455882352941 {30/64}, 0.191176470588 {12/64}, 0.338235294118 {22/64})
45 (0.0147058823529 {0/64}, 0.0294117647059 {1/64}, 0.132352941176 {8/64}, 0.823529411765 {55/64})
52 (0.147058823529 {9/64}, 0.102941176471 {6/64}, 0.397058823529 {26/64}, 0.352941176471 {23/64})
56 (0.264705882353 {17/64}, 0.279411764706 {18/64}, 0.220588235294 {14/64}, 0.235294117647 {15/64})
58 (0.0441176470588 {2/64}, 0.691176470588 {46/64}, 0.235294117647 {15/64}, 0.0294117647059 {1/64})
66 (0.955882352941 {64/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
70 (0.161764705882 {10/64}, 0.0588235294118 {3/64}, 0.764705882353 {51/64}, 0.0147058823529 {0/64})
72 (0.0294117647059 {1/64}, 0.0147058823529 {0/64}, 0.823529411765 {55/64}, 0.132352941176 {8/64})
81 (0.102941176471 {6/64}, 0.411764705882 {27/64}, 0.147058823529 {9/64}, 0.338235294118 {22/64})
82 (0.0147058823529 {0/64}, 0.955882352941 {64/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
92 (0.0147058823529 {0/64}, 0.0147058823529 {0/64}, 0.955882352941 {64/64}, 0.0147058823529 {0/64})

Architecture 9: 64 sequences with 11 important features
28 (0.0147058823529 {0/64}, 0.441176470588 {29/64}, 0.5 {33/64}, 0.0441176470588 {2/64})
31 (0.102941176471 {6/64}, 0.0147058823529 {0/64}, 0.838235294118 {56/64}, 0.0441176470588 {2/64})
59 (0.132352941176 {8/64}, 0.279411764706 {18/64}, 0.514705882353 {34/64}, 0.0735294117647 {4/64})
64 (0.544117647059 {36/64}, 0.411764705882 {27/64}, 0.0147058823529 {0/64}, 0.0294117647059 {1/64})
66 (0.0147058823529 {0/64}, 0.0147058823529 {0/64}, 0.0294117647059 {1/64}, 0.941176470588 {63/64})
68 (0.25 {16/64}, 0.514705882353 {34/64}, 0.132352941176 {8/64}, 0.102941176471 {6/64})
79 (0.0147058823529 {0/64}, 0.617647058824 {41/64}, 0.352941176471 {23/64}, 0.0147058823529 {0/64})
80 (0.147058823529 {9/64}, 0.220588235294 {14/64}, 0.617647058824 {41/64}, 0.0147058823529 {0/64})
82 (0.117647058824 {7/64}, 0.455882352941 {30/64}, 0.264705882353 {17/64}, 0.161764705882 {10/64})
92 (0.0147058823529 {0/64}, 0.955882352941 {64/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
94 (0.0147058823529 {0/64}, 0.411764705882 {27/64}, 0.558823529412 {37/64}, 0.0147058823529 {0/64})

Architecture 10: 59 sequences with 10 important features
9 (0.015873015873 {0/59}, 0.333333333333 {20/59}, 0.603174603175 {37/59}, 0.047619047619 {2/59})
11 (0.015873015873 {0/59}, 0.619047619048 {38/59}, 0.015873015873 {0/59}, 0.349206349206 {21/59})
13 (0.253968253968 {15/59}, 0.031746031746 {1/59}, 0.698412698413 {43/59}, 0.015873015873 {0/59})
15 (0.015873015873 {0/59}, 0.0793650793651 {4/59}, 0.888888888889 {55/59}, 0.015873015873 {0/59})
22 (0.015873015873 {0/59}, 0.920634920635 {57/59}, 0.047619047619 {2/59}, 0.015873015873 {0/59})
47 (0.015873015873 {0/59}, 0.015873015873 {0/59}, 0.015873015873 {0/59}, 0.952380952381 {59/59})
67 (0.15873015873 {9/59}, 0.571428571429 {35/59}, 0.190476190476 {11/59}, 0.0793650793651 {4/59})
72 (0.857142857143 {53/59}, 0.015873015873 {0/59}, 0.047619047619 {2/59}, 0.0793650793651 {4/59})
83 (0.396825396825 {24/59}, 0.253968253968 {15/59}, 0.0793650793651 {4/59}, 0.269841269841 {16/59})
90 (0.904761904762 {56/59}, 0.047619047619 {2/59}, 0.031746031746 {1/59}, 0.015873015873 {0/59})

