MODEL

Lambda: 3.0

Dataset structure: 1000 sequences with 100 features
Number of architectures in the best model: 10

Architecture 1: 148 sequences with 20 important features
4 (0.335526315789 {50/148}, 0.00657894736842 {0/148}, 0.144736842105 {21/148}, 0.513157894737 {77/148})
79 (0.0147058823529 {0/64}, 0.617647058824 {41/64}, 0.352941176471 {23/64}, 0.0147058823529 {0/64})
80 (0.147058823529 {9/64}, 0.220588235294 {14/64}, 0.617647058824 {41/64}, 0.0147058823529 {0/64})
82 (0.117647058824 {7/64}, 0.455882352941 {30/64}, 0.264705882353 {17/64}, 0.161764705882 {10/64})
88 (0.294117647059 {19/64}, 0.176470588235 {11/64}, 0.308823529412 {20/64}, 0.220588235294 {14/64})
92 (0.0147058823529 {0/64}, 0.955882352941 {64/64}, 0.0147058823529 {0/64}, 0.0147058823529 {0/64})
94 (0.0147058823529 {0/64}, 0.411764705882 {27/64}, 0.558823529412 {37/64}, 0.0147058823529 {0/64})

Architecture 10: 59 sequences with 19 important features
4 (0.31746031746 {19/59}, 0.206349206349 {12/59}, 0.174603174603 {10/59}, 0.301587301587 {18/59})
9 (0.015873015873 {0/59}, 0.333333333333 {20/59}, 0.603174603175 {37/59}, 0.047619047619 {2/59})
11 (0.015873015873 {0/59}, 0.619047619048 {38/59}, 0.015873015873 {0/59}, 0.349206349206 {21/59})
13 (0.253968253968 {15/59}, 0.031746031746 {1/59}, 0.698412698413 {43/59}, 0.015873015873 {0/59})
15 (0.015873015873 {0/59}, 0.0793650793651 {4/59}, 0.888888888889 {55/59}, 0.015873015873 {0/59})
22 (0.015873015873 {0/59}, 0.920634920635 {57/59}, 0.047619047619 {2/59}, 0.015873015873 {0/59})
28 (0.285714285714 {17/59}, 0.428571428571 {26/59}, 0.0634920634921 {3/59}, 0.222222222222 {13/59})
44 (0.412698412698 {25/59}, 0.015873015873 {0/59}, 0.301587301587 {18/59}, 0.269841269841 {16/59})
47 (0.015873015873 {0/59}, 0.015873015873 {0/59}, 0.015873015873 {0/59}, 0.952380952381 {59/59})
53 (0.047619047619 {2/59}, 0.444444444444 {27/59}, 0.253968253968 {15/59}, 0.253968253968 {15/59})
54 (0.0952380952381 {5/59}, 0.15873015873 {9/59}, 0.444444444444 {27/59}, 0.301587301587 {18/59})
64 (0.126984126984 {7/59}, 0.206349206349 {12/59}, 0.190476190476 {11/59}, 0.47619047619 {29/59})
66 (0.0952380952381 {5/59}, 0.142857142857 {8/59}, 0.412698412698 {25/59}, 0.349206349206 {21/59})
67 (0.15873015873 {9/59}, 0.571428571429 {35/59}, 0.190476190476 {11/59}, 0.0793650793651 {4/59})
72 (0.857142857143 {53/59}, 0.015873015873 {0/59}, 0.047619047619 {2/59}, 0.0793650793651 {4/59})
73 (0.222222222222 {13/59}, 0.142857142857 {8/59}, 0.428571428571 {26/59}, 0.206349206349 {12/59})
78 (0.285714285714 {17/59}, 0.174603174603 {10/59}, 0.142857142857 {8/59}, 0.396825396825 {24/59})
83 (0.396825396825 {24/59}, 0.253968253968 {15/59}, 0.0793650793651 {4/59}, 0.269841269841 {16/59})
90 (0.904761904762 {56/59}, 0.047619047619 {2/59}, 0.031746031746 {1/59}, 0.015873015873 {0/59})

